,id,date,year,title,venue,authors,abstract,keywords
0,2916081243,2019-03-04,2019,Integrated Closed-loop Learning Analytics Scheme in a First Year Experience Course,LAK,"munira syed, trunojoyo anggara, alison lanski, xiaojing duan, g alex ambrose, nitesh v chawla","Identifying non-thriving students and intervening to boost them are two processes that recent literature suggests should be more tightly integrated. We perform this integration over six semesters in a First Year Experience (FYE) course with the aim of boosting student success, by using an integrated closed-loop learning analytics scheme consists multiple steps broken into three main phases, as follows: Architecting for Collection (steps: design, build, capture), Analyzing Action identify, notify, boost), Assessing Improvement evaluate, report). close loop allowing later inform earlier ones real-time during semester iteratively year year, thereby improving from data-driven insights. This process depends on purposeful design environment facilitates data collection, storage, analysis. Methods evaluating effectiveness our analytics-based interventions show criterion identifying was satisfactory demonstrated substantial changes mid-term final grades than already-thriving students. Lastly, we make case early performance FYE indicator overall retention first-year ","identifying, thriving, students, intervening, boost, two, processes, literature, suggests, more, tightly, integrated, perform, integration, over, six, semesters, first, year, experience, fye, course, aim, boosting, student, success, closed, loop, learning, analytics, scheme, consists, multiple, steps, broken, three, main, phases, follows, architecting, collection, design, build, capture, analyzing, action, identify, notify, assessing, improvement, evaluate, close, allowing, later, inform, earlier, ones, real, time, semester, iteratively, thereby, improving, data, driven, insights, process, depends, purposeful, environment, facilitates, storage, methods, evaluating, effectiveness, interventions, show, criterion, satisfactory, substantial, changes, mid, term, final, grades, already, lastly, make, case, early, performance, indicator, overall, retention"
1,2592947110,2017-03-13,2017,SPACLE: investigating learning across virtual and physical spaces using spatial replays,LAK,"kenneth holstein, bruce m mclaren, vincent aleven","Classroom experiments that evaluate the effectiveness of educational technologies do not typically examine effects classroom contextual variables (e.g., out-of-software help-giving and external distractions). Yet these may influence students instructional outcomes. In this paper, we introduce Spatial Log Explorer (SPACLE): a prototype tool facilitates rapid discovery relationships between within-software events. Unlike previous tools for retrospective analysis, SPACLE replays moment-by-moment analytics about student teacher behaviors in their original spatial context. We present data analysis workflow using demonstrate how can support causal discovery. share results our initial replay analyses SPACLE, which highlight importance considering factors when analyzing ITS log data. also an investigation into student-teacher interactions on learning K-12 blended classrooms, workflow, combines with modeling. Our findings suggest awareness being monitored by teachers promote learning, ""gaming system"" extend outside software use. ","classroom, experiments, evaluate, effectiveness, educational, technologies, typically, examine, effects, contextual, variables, g, software, help, giving, external, distractions, yet, may, influence, students, instructional, outcomes, paper, introduce, spatial, log, explorer, spacle, prototype, tool, facilitates, rapid, discovery, relationships, events, unlike, previous, tools, retrospective, replays, moment, analytics, student, teacher, behaviors, original, context, data, workflow, support, causal, share, initial, replay, analyses, highlight, importance, considering, factors, analyzing, investigation, interactions, learning, k, 12, blended, classrooms, combines, modeling, awareness, monitored, teachers, promote, gaming, system, extend, outside"
2,2592276701,2017-03-13,2017,Writing analytics literacy: bridging from research to practice,LAK,"simon knight, laura k allen, andrew gibson, danielle s mcnamara, simon buckingham shum","There is untapped potential in achieving the full impact of learning analytics through integration tools into practical pedagogic contexts. To meet this potential, more work must be conducted to support educators developing literacy. The proposed workshop addresses need by building capacity community and an approach resourcing for writing literacy. ","untapped, potential, achieving, full, impact, learning, analytics, integration, tools, practical, pedagogic, contexts, meet, more, work, must, conducted, support, educators, developing, literacy, workshop, addresses, building, capacity, community, approach, resourcing, writing"
3,2594276629,2017-03-13,2017,What do students want?: towards an instrument for students evaluation of quality of learning analytics services,LAK,"alexander whitelockwainwright, dragan gasevic, ricardo tejeiro","Quality assurance in any organization is important for ensuring that service users are satisfied with the offered. For higher education institutes, use of quality measures allows ideological gaps to be both identified and resolved. The learning analytic community, however, has rarely addressed concept quality. A potential outcome this provision a analytics only meets expectations certain stakeholders (e.g., managers), whilst overlooking those who most students). In order resolve issue, we outline framework our current progress towards developing scale assess student perceptions as service. ","quality, assurance, organization, important, ensuring, service, users, satisfied, offered, higher, education, institutes, measures, allows, ideological, gaps, both, identified, resolved, learning, analytic, community, rarely, addressed, concept, potential, outcome, provision, analytics, meets, expectations, certain, stakeholders, g, managers, whilst, overlooking, students, order, resolve, issue, outline, framework, current, progress, towards, developing, scale, assess, student, perceptions"
4,3010895266,2020-03-23,2020,Prediction of students assessment readiness in online learning environments: The sequence matters,LAK,"donia malekian, james bailey, gregor kennedy","Online learning environments are now pervasive in higher education. While not exclusively the case, these environments, there is often modest teacher presence, and students provided with access to a range of learning, assessment, support materials. This places pressure on their study skills, including selfregulation. In this context, may assessment material without being fully prepared. result limited success and, turn, raise significant risk disengagement. Therefore, if prediction students readiness was possible, it could be used assist educators or online postpone tasks until were deemed ""ready"". study, we employed machine techniques aggregated sequential representations behaviour Massive Open Course (MOOC), predict for tasks. Based our results, possible successfully tasks, particularly aspects represented model. Additionally, pattern mining investigate which sequences differed between high low level performance assessments. We found that had most related viewing reviewing lecture materials, whereas successive failed submissions an assessment. findings, implications supporting specific behaviours improve discussed. ","online, learning, environments, now, pervasive, higher, education, exclusively, case, modest, teacher, presence, students, access, range, assessment, support, materials, places, pressure, skills, selfregulation, context, may, material, without, fully, prepared, limited, success, turn, raise, significant, risk, disengagement, if, prediction, readiness, assist, educators, postpone, tasks, until, deemed, ready, employed, machine, techniques, aggregated, sequential, representations, behaviour, massive, open, course, mooc, predict, successfully, particularly, aspects, represented, model, additionally, pattern, mining, investigate, sequences, differed, high, low, level, performance, assessments, found, viewing, reviewing, lecture, whereas, successive, failed, submissions, implications, supporting, specific, behaviours"
5,2592371933,2017-03-13,2017,EMODA: a tutor oriented multimodal and contextual emotional dashboard,LAK,"mohamed ezzaouia, elise lavoue","Learners emotional state has proven to be a key factor for successful learning. Visualizing learners emotions during synchronous on-line learning activities can help tutors in creating and maintaining socio-affective relationships with their learners. However, few dashboards offer information on the activity. The current study focuses interactions via videoconferencing tool dedicated foreign language training. We collected data real conditions ten sessions (five two learners). propose adopt combine different models of (discrete dimensional) use heterogeneous APIs measuring from sources (audio, video, self-reporting interaction traces). Based thorough analysis, we an approach cues infer states. finally present EMODA dashboard, affective multimodal contextual visual analytics which allows tutor monitor better understand evolution ","learners, emotional, state, proven, key, factor, successful, learning, visualizing, emotions, synchronous, line, activities, help, tutors, creating, maintaining, socio, affective, relationships, few, dashboards, offer, information, activity, current, focuses, interactions, via, videoconferencing, tool, dedicated, foreign, language, training, collected, data, real, conditions, ten, sessions, five, two, propose, adopt, combine, different, models, discrete, dimensional, heterogeneous, apis, measuring, sources, audio, video, self, reporting, interaction, traces, thorough, approach, cues, infer, states, finally, emoda, dashboard, multimodal, contextual, visual, analytics, allows, tutor, monitor, better, understand, evolution"
6,2337788682,2016-04-25,2016,Improving efficacy attribution in a self-directed learning environment using prior knowledge individualization,LAK,"zachary a pardos, yanbo xu","Models of learning in EDM and LAK are pushing the boundaries what can be measured from large quantities historical data. When controlled randomization is present platform, such as randomized ordering problems within a problem set, natural quasi-randomized studies conducted, post-hoc. Difficulty gain attribution among factors interest that studied with secondary analyses under these conditions. However, much content we might like to evaluate for value not administered random stimulus students but instead being self-selected, student choosing seek help discussion forums, wiki pages, or other pedagogically relevant material online courseware. Help seekers, by virtue their motivation help, tend ones who have least knowledge. presented cohort bi-modal uniform knowledge distribution, this model interpretability when single point estimation used represent prior Since resource access indicative low student, towards attributing resources negative order better explain performance given higher average estimate. In paper several individualized strategies demonstrate how efficacy validity prediction accuracy improve result. Level education attained, relative past assessment performance, per cold start heuristic were employed compared individualization strategies. ","models, learning, edm, lak, pushing, boundaries, measured, large, quantities, historical, data, controlled, randomization, platform, randomized, ordering, problems, problem, set, natural, quasi, studies, conducted, post, hoc, difficulty, gain, attribution, factors, interest, studied, secondary, analyses, conditions, content, might, evaluate, value, administered, random, stimulus, students, instead, self, selected, student, choosing, seek, help, discussion, forums, wiki, pages, pedagogically, relevant, material, online, courseware, seekers, virtue, motivation, tend, ones, least, knowledge, presented, cohort, bi, modal, uniform, distribution, model, interpretability, single, point, estimation, represent, prior, resource, access, indicative, low, towards, attributing, resources, negative, order, better, explain, performance, higher, average, estimate, paper, several, individualized, strategies, efficacy, validity, prediction, accuracy, level, education, attained, relative, past, assessment, per, cold, start, heuristic, employed, individualization"
7,2591667586,2017-03-13,2017,When learning is high stake,LAK,"cecilie hansen, barbara wasson, hans skretting, grete netteland, marina hirnstein","Firefighter learning is high stake. They need to maintain certain competence levels related physical, mental, and firefighting rescue skills in order provide the public with a level of emergency service. Fire Rescue Services an overview current competences their personnel react when there gap. This poster presents our approach using modelling, learner models, analytics, visualisations insight into status development on individual, team, organisation level, early-alerts automated messages instructors responsible for planning training activities, as well team leaders making decisions about teams stakes situations. ","firefighter, learning, high, stake, maintain, certain, competence, levels, physical, mental, firefighting, rescue, skills, order, provide, public, level, emergency, service, fire, services, overview, current, competences, personnel, react, gap, poster, approach, modelling, learner, models, analytics, visualisations, insight, status, development, individual, team, organisation, early, alerts, automated, messages, instructors, responsible, planning, training, activities, leaders, decisions, teams, stakes, situations"
8,2163189012,2012-04-29,2012,Does the length of time off-task matter?,LAK,"daniel roberge, anthony rojas, ryan s baker","We investigate the relationship between a students time off-task and amount that he or she learns to see whether not learning is more complex model than traditional linear typically studied. The data collected based off of students interactions with Cognitive Tutor software. Analysis suggested functions did fit significantly better function. In addition, there was evidence length specific pause matters for predicting outcomes; e.g. students who make many short pauses do appear learn less smaller number long pauses. As such, previous theoretical accounts arguing behavior primarily reduces by reducing spent remain congruent current evidence. ","investigate, relationship, student, time, off, task, amount, he, she, learns, see, learning, more, complex, model, traditional, linear, typically, studied, data, collected, students, interactions, cognitive, tutor, software, suggested, functions, fit, significantly, better, function, addition, evidence, length, specific, pause, matters, predicting, outcomes, g, make, short, pauses, appear, learn, less, smaller, number, long, previous, theoretical, accounts, arguing, behavior, primarily, reduces, reducing, spent, remain, congruent, current"
9,2593095200,2017-03-13,2017,Strategies for data and learning analytics informed national education policies: the case of Uruguay,LAK,"cecilia aguerrebere, cristobal cobo, marcela gomez, matias mateu","This work provides an overview of education and technology monitoring system developed at Plan Ceibal, a nationwide initiative created to enable enhanced learning in Uruguay. Ceibal currently offers one-to-one access connectivity every student teacher (from primary secondary education) as well comprehensive set educational software platforms. All these resources generate massive amounts data about the progress style students learning. introduces conceptual framework, design preliminary results Big Data Center for analytics being Ceibal. is focused on exploiting datasets conducting advanced support system. To this aim, 360 degrees profile will be built including information characterizing users online behavior factors. These profiles studied both user (e.g., or teacher) larger scale levels per school system), addressing need understanding how used provide accurate feedback evidence based policies. ","work, overview, education, technology, monitoring, system, developed, plan, ceibal, nationwide, initiative, created, enable, enhanced, learning, uruguay, currently, offers, one, access, connectivity, every, student, teacher, primary, secondary, comprehensive, set, educational, software, platforms, resources, generate, massive, amounts, data, progress, style, students, introduces, conceptual, framework, design, preliminary, big, center, analytics, focused, exploiting, datasets, conducting, advanced, support, aim, 360, degrees, profile, built, information, characterizing, user, online, behavior, factors, profiles, studied, both, g, larger, scale, levels, per, school, addressing, understanding, provide, accurate, feedback, evidence, policies"
